quality,quality,quality,quality,quality,quality,quality,quality,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
8784.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8784.0,10.580430327868854,6.972415567252357,-6.7,5.3,9.9,15.6,31.8,8784.0,76.59301001821494,15.576850763999488,26.0,66.0,80.0,89.0,100.0
8760.0,6.52796803652968,3.500088036194173,3.0,3.0,10.0,10.0,10.0,8760.0,9.915285388127822,7.02391169215067,-9.8,4.9,10.2,14.9,29.5,8760.0,77.32659817351598,16.593556365941748,18.0,67.0,81.0,91.0,100.0
8760.0,9.381735159817351,2.276208564300981,1.0,10.0,10.0,10.0,10.0,8760.0,11.099497716894986,6.9227952401119985,-9.2,6.1,10.7,15.3,35.7,8760.0,79.58949771689498,15.523780629012176,17.0,70.0,83.0,92.0,100.0
8760.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,8760.0,10.69315068493151,7.566603221165532,-9.1,5.2,10.2,15.8,34.8,8760.0,78.59280821917808,16.82739974642638,11.0,68.0,82.0,92.0,100.0
8784.0,9.999203096539162,0.07468817996085599,3.0,10.0,10.0,10.0,10.0,8784.0,8.79460382513662,7.6501834085742075,-14.8,2.9,9.3,14.1,32.6,8784.0,74.79735883424408,17.886504748409596,3.0,64.0,79.0,89.0,100.0
8760.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,8760.0,10.543196347031955,7.242063692650252,-16.2,5.9,10.3,15.6,32.2,8760.0,75.14212328767124,16.487693973848426,15.0,65.0,79.0,88.0,100.0
8760.0,9.973744292237443,0.48212259347400127,1.0,10.0,10.0,10.0,10.0,8760.0,10.474429223744288,6.679842166858621,-9.1,5.9,10.4,15.0,33.3,8760.0,78.27694063926941,16.55256649893589,20.0,68.0,81.0,91.0,100.0
8760.0,9.997146118721462,0.1551817075768934,1.0,10.0,10.0,10.0,10.0,8760.0,10.9930593607306,7.069967694574125,-9.1,5.5,10.9,16.1,31.2,8760.0,78.1829908675799,16.501037569010375,19.0,67.0,82.0,92.0,100.0
8784.0,9.999203096539162,0.07468817996085599,3.0,10.0,10.0,10.0,10.0,8784.0,11.15991575591982,6.239922777368622,-6.5,6.6,11.1,15.2,33.4,8784.0,78.74658469945355,15.214852406503256,24.0,70.0,81.0,91.0,100.0
8759.0,9.974540472656695,0.47635607384509066,1.0,10.0,10.0,10.0,10.0,8759.0,10.528165315675306,7.244960148061526,-7.5,4.9,10.5,15.5,34.4,8759.0,78.4468546637744,15.05330033500264,24.0,69.5,82.0,91.0,100.0
8760.0,9.980022831050228,0.37343943969500315,3.0,10.0,10.0,10.0,10.0,8760.0,11.13767123287673,6.335643434173462,-8.0,7.0,10.8,15.6,34.1,8760.0,75.64280821917808,15.112507047737937,24.0,67.0,79.0,88.0,100.0
8760.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,8760.0,11.075422374429207,8.049565304486201,-11.5,5.2,10.8,16.8,36.3,8760.0,70.54029680365296,17.26052620731963,16.0,59.0,75.0,85.0,95.0
8784.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,8784.0,10.345605646630274,7.0748773399046625,-7.2,4.8,10.6,15.4,32.0,8783.0,76.68552886257542,15.726683118598991,23.0,67.0,80.0,90.0,100.0
